,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data._target_,data.drop,data.name,data.target,data.sample._target_,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.data._target_,model.data.drop,model.data.name,model.data.sample._target_,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init._target_,model.init.algorithm,model.init.k,model.init.m,model.init.metric,model.init.name,model.init.precompute,model.init.symmetric,model.init.weights,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
00ecd2bd24e692069672cd79bc3e54f4,train,deckard.base.experiment.Experiment,00ecd2bd24e692069672cd79bc3e54f4,KDD NSL,cpu,00ecd2bd24e692069672cd79bc3e54f4,00ecd2bd24e692069672cd79bc3e54f4,k-KNN,00ecd2bd24e692069672cd79bc3e54f4,00ecd2bd24e692069672cd79bc3e54f4,0.9,3.453901627413975,cpu,1721405705.0600352,1721405697.1230152,8.72300529,0.0872300529,cpu,1721405697.1228771,1721405690.470583,7.20089236,0.0720089236,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,3087,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,00ecd2bd24e692069672cd79bc3e54f4,predictions.json,reports/gzip_knn/100,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,3087,True,100,100,label,deckard.base.model.ModelInitializer,brute,7,1,ZSTD,gzip_classifier.GzipKNN,True,Symmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
9ce5ce49833bb1448d75692f130fbc9b,train,deckard.base.experiment.Experiment,9ce5ce49833bb1448d75692f130fbc9b,KDD NSL,cpu,9ce5ce49833bb1448d75692f130fbc9b,9ce5ce49833bb1448d75692f130fbc9b,k-KNN,9ce5ce49833bb1448d75692f130fbc9b,9ce5ce49833bb1448d75692f130fbc9b,0.96,1.38155905177073,cpu,1721438740.4675124,1721438726.9013126,14.38376932,0.1438376932,cpu,1721438726.900738,1721438685.1695683,44.16505548,0.1472168516,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,1273,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,9ce5ce49833bb1448d75692f130fbc9b,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,1273,True,100,300,label,deckard.base.model.ModelInitializer,brute,3,1,GZIP,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
9d224a410ef8d5d462645ae65d5b71eb,train,deckard.base.experiment.Experiment,9d224a410ef8d5d462645ae65d5b71eb,KDD NSL,cpu,9d224a410ef8d5d462645ae65d5b71eb,9d224a410ef8d5d462645ae65d5b71eb,k-KNN,9d224a410ef8d5d462645ae65d5b71eb,9d224a410ef8d5d462645ae65d5b71eb,0.95,1.7269787996170447,cpu,1721440095.901861,1721440086.4960504,10.17885821,0.1017885821,cpu,1721440086.495927,1721440056.5470154,32.31275898,0.1077091966,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,6616,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,9d224a410ef8d5d462645ae65d5b71eb,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,6616,True,100,300,label,deckard.base.model.ModelInitializer,brute,5,1,Levenshtein,gzip_classifier.GzipKNN,True,Asymmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
a0d7ba810fec87492ae4c456a6645a5a,train,deckard.base.experiment.Experiment,a0d7ba810fec87492ae4c456a6645a5a,KDD NSL,cpu,a0d7ba810fec87492ae4c456a6645a5a,a0d7ba810fec87492ae4c456a6645a5a,k-KNN,a0d7ba810fec87492ae4c456a6645a5a,a0d7ba810fec87492ae4c456a6645a5a,0.96,1.3815670477450324,cpu,1721730436.4584255,1721730426.906422,10.40339395,0.1040339395,cpu,1721730426.906282,1721730403.5858195,24.36625185,0.0812208395,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,6939,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,a0d7ba810fec87492ae4c456a6645a5a,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,6939,True,100,300,label,deckard.base.model.ModelInitializer,brute,5,1,Levenshtein,gzip_classifier.GzipKNN,True,Symmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
a31a80e04023943424cb8db1e89f78ae,train,deckard.base.experiment.Experiment,a31a80e04023943424cb8db1e89f78ae,KDD NSL,cpu,a31a80e04023943424cb8db1e89f78ae,a31a80e04023943424cb8db1e89f78ae,k-KNN,a31a80e04023943424cb8db1e89f78ae,a31a80e04023943424cb8db1e89f78ae,0.94,2.072350571617548,cpu,1721731029.1284745,1721731016.1916363,15.11021497,0.1511021497,cpu,1721731016.1912978,1721730986.5602956,33.41302073,0.1113767357666666,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,7282,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,a31a80e04023943424cb8db1e89f78ae,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,7282,True,100,300,label,deckard.base.model.ModelInitializer,brute,7,1,BZ2,gzip_classifier.GzipKNN,True,Symmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
a57b87664a2754096d8c9facf11135bc,train,deckard.base.experiment.Experiment,a57b87664a2754096d8c9facf11135bc,KDD NSL,cpu,a57b87664a2754096d8c9facf11135bc,a57b87664a2754096d8c9facf11135bc,k-KNN,a57b87664a2754096d8c9facf11135bc,a57b87664a2754096d8c9facf11135bc,0.95,1.7269548116941384,cpu,1721440376.752877,1721440366.945108,10.66727367,0.1066727367,cpu,1721440366.94463,1721440337.1083395,32.26669904,0.1075556634666666,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,3746,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,a57b87664a2754096d8c9facf11135bc,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,3746,True,100,300,label,deckard.base.model.ModelInitializer,brute,3,1,Levenshtein,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
a79c0375e9d44cb2320b1c1b23afe4c4,train,deckard.base.experiment.Experiment,a79c0375e9d44cb2320b1c1b23afe4c4,KDD NSL,cpu,a79c0375e9d44cb2320b1c1b23afe4c4,a79c0375e9d44cb2320b1c1b23afe4c4,k-KNN,a79c0375e9d44cb2320b1c1b23afe4c4,a79c0375e9d44cb2320b1c1b23afe4c4,0.98,0.6907835238725165,cpu,1721438571.4493985,1721438558.2089782,14.15465062,0.1415465062,cpu,1721438558.208569,1721438515.2850196,45.59141795,0.1519713931666666,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,344,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,a79c0375e9d44cb2320b1c1b23afe4c4,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,344,True,100,300,label,deckard.base.model.ModelInitializer,brute,3,1,GZIP,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
a9cae349ac2356a42cab668d287a2540,train,deckard.base.experiment.Experiment,a9cae349ac2356a42cab668d287a2540,KDD NSL,cpu,a9cae349ac2356a42cab668d287a2540,a9cae349ac2356a42cab668d287a2540,k-KNN,a9cae349ac2356a42cab668d287a2540,a9cae349ac2356a42cab668d287a2540,0.5,17.269660060581604,cpu,1721440089.0996163,1721440079.4519088,10.46582275,0.1046582275,cpu,1721440079.4517784,1721440056.5678596,23.92367271,0.0797455757,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,6172,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,a9cae349ac2356a42cab668d287a2540,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,6172,True,100,300,label,deckard.base.model.ModelInitializer,brute,1,1,Jaro-Winkler,gzip_classifier.GzipKNN,True,Symmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
a9fb2ac7d0f8e428dfa78b5558972142,train,deckard.base.experiment.Experiment,a9fb2ac7d0f8e428dfa78b5558972142,KDD NSL,cpu,a9fb2ac7d0f8e428dfa78b5558972142,a9fb2ac7d0f8e428dfa78b5558972142,k-KNN,a9fb2ac7d0f8e428dfa78b5558972142,a9fb2ac7d0f8e428dfa78b5558972142,0.11,30.739886802262696,cpu,1721731736.2423744,1721731706.2986956,30.66870957,0.3066870957,cpu,1721731706.297261,1721731642.9893608,64.6629546,0.215543182,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,8642,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,a9fb2ac7d0f8e428dfa78b5558972142,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,8642,True,100,300,label,deckard.base.model.ModelInitializer,brute,5,1,SeqRatio,gzip_classifier.GzipKNN,True,Symmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
aa290331a498e89ab242c1703e7642a2,train,deckard.base.experiment.Experiment,aa290331a498e89ab242c1703e7642a2,KDD NSL,cpu,aa290331a498e89ab242c1703e7642a2,aa290331a498e89ab242c1703e7642a2,k-KNN,aa290331a498e89ab242c1703e7642a2,aa290331a498e89ab242c1703e7642a2,0.98,0.6907915198468184,cpu,1721440105.5529068,1721440094.2344117,12.26330725,0.1226330725,cpu,1721440094.233914,1721440056.5401278,39.88125275,0.1329375091666666,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,5075,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,aa290331a498e89ab242c1703e7642a2,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,5075,True,100,300,label,deckard.base.model.ModelInitializer,brute,3,1,GZIP,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
