,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified,model.init.C,model.init.class_weight,model.init.fit_intercept,model.init.max_iter,model.init.penalty,model.init.solver,model.init.tol,id,model.init.gamma,model.init.kernel
0,train,deckard.base.experiment.Experiment,01ff77c03342cc4e8c447dbcbceffc51,KDD NSL,cpu,01ff77c03342cc4e8c447dbcbceffc51,01ff77c03342cc4e8c447dbcbceffc51,k-KNN,01ff77c03342cc4e8c447dbcbceffc51,01ff77c03342cc4e8c447dbcbceffc51,0.98,0.6907835238725165,cpu,1725631995.4359004,1725631993.633615,1.85736205,0.0185736205,cpu,1725631993.6334655,1725631991.877394,1.79950525,0.0179950525,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,100,100,deckard.base.files.FileConfig,data,fc5bd4929fc2b9a2e0aca3efb10c8e43,.pkl,kdd_nsl,01ff77c03342cc4e8c447dbcbceffc51,predictions.json,reports/gzip_knn/100/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,100,100,label,brute,5.0,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,01ff77c03342cc4e8c447dbcbceffc51,,
1,train,deckard.base.experiment.Experiment,f943372916cca1370fbc8cafd08dc4dc,KDD NSL,cpu,f943372916cca1370fbc8cafd08dc4dc,f943372916cca1370fbc8cafd08dc4dc,k-KNN,f943372916cca1370fbc8cafd08dc4dc,f943372916cca1370fbc8cafd08dc4dc,0.96,1.381567047745032,cpu,1725626001.667469,1725626001.097955,0.60786715,0.0060786715,cpu,1725626001.0978365,1725626000.9254346,0.17967954,0.008983977,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,100,20,deckard.base.files.FileConfig,data,0a89673688bf82295298b4737709b8c8,.pkl,kdd_nsl,f943372916cca1370fbc8cafd08dc4dc,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,100,20,label,brute,3.0,1,GZIP,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,f943372916cca1370fbc8cafd08dc4dc,,
2,train,deckard.base.experiment.Experiment,f80978897843c1421d51419354096bf2,KDD NSL,cpu,f80978897843c1421d51419354096bf2,f80978897843c1421d51419354096bf2,k-KNN,f80978897843c1421d51419354096bf2,f80978897843c1421d51419354096bf2,0.11,30.739870810314088,cpu,1725626023.398831,1725626022.995926,0.4171995,0.004171995,cpu,1725626022.9957702,1725626022.8952365,0.09431475,0.0047157375,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,100,20,deckard.base.files.FileConfig,data,0a89673688bf82295298b4737709b8c8,.pkl,kdd_nsl,f80978897843c1421d51419354096bf2,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,100,20,label,brute,11.0,1,Jaro,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,f80978897843c1421d51419354096bf2,,
3,train,deckard.base.experiment.Experiment,f5cd1032e1f9ed48e47958030f2c170e,KDD NSL,cpu,f5cd1032e1f9ed48e47958030f2c170e,f5cd1032e1f9ed48e47958030f2c170e,k-KNN,f5cd1032e1f9ed48e47958030f2c170e,f5cd1032e1f9ed48e47958030f2c170e,0.11,30.73987880628839,cpu,1725625964.0689063,1725625963.6898096,0.39968689,0.0039968689,cpu,1725625963.689525,1725625963.5923307,0.09955398,0.004977699,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,20,deckard.base.files.FileConfig,data,f2fa6ca59659a8ff8ed8d0cdadd9dabe,.pkl,kdd_nsl,f5cd1032e1f9ed48e47958030f2c170e,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,20,label,brute,5.0,1,Jaro,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,f5cd1032e1f9ed48e47958030f2c170e,,
4,train,deckard.base.experiment.Experiment,f45398e09b93a1b801bf91e58cefbcc9,KDD NSL,cpu,f45398e09b93a1b801bf91e58cefbcc9,f45398e09b93a1b801bf91e58cefbcc9,k-KNN,f45398e09b93a1b801bf91e58cefbcc9,f45398e09b93a1b801bf91e58cefbcc9,0.08,31.77605809008432,cpu,1725626059.880207,1725626059.5378966,0.36014684,0.0036014684,cpu,1725626059.537544,1725626059.431491,0.10061348,0.005030674,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,f45398e09b93a1b801bf91e58cefbcc9,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,brute,11.0,1,Ratio,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,f45398e09b93a1b801bf91e58cefbcc9,,
5,train,deckard.base.experiment.Experiment,f366c7d37ca9c694afce6ca1f0254b15,KDD NSL,cpu,f366c7d37ca9c694afce6ca1f0254b15,f366c7d37ca9c694afce6ca1f0254b15,k-KNN,f366c7d37ca9c694afce6ca1f0254b15,f366c7d37ca9c694afce6ca1f0254b15,0.95,1.7269548116941391,cpu,1725625944.4807887,1725625944.050727,0.45102394,0.0045102394,cpu,1725625944.050607,1725625943.9429717,0.10245979,0.0051229895,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,f366c7d37ca9c694afce6ca1f0254b15,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,brute,3.0,1,Levenshtein,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,f366c7d37ca9c694afce6ca1f0254b15,,
6,train,deckard.base.experiment.Experiment,f01bf698467bc170609b3041d6d26bbb,KDD NSL,cpu,f01bf698467bc170609b3041d6d26bbb,f01bf698467bc170609b3041d6d26bbb,k-KNN,f01bf698467bc170609b3041d6d26bbb,f01bf698467bc170609b3041d6d26bbb,0.8,6.907843234699458,cpu,1725626008.3959534,1725626008.0377555,0.38236808,0.0038236808,cpu,1725626008.037412,1725626007.9330404,0.10371222,0.005185611,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,f01bf698467bc170609b3041d6d26bbb,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,brute,3.0,1,Hamming,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,f01bf698467bc170609b3041d6d26bbb,,
7,train,deckard.base.experiment.Experiment,fd16fe32e7bda2330642bf66fdebc5ba,KDD NSL,cpu,fd16fe32e7bda2330642bf66fdebc5ba,fd16fe32e7bda2330642bf66fdebc5ba,k-KNN,fd16fe32e7bda2330642bf66fdebc5ba,fd16fe32e7bda2330642bf66fdebc5ba,0.49,17.615143776222336,cpu,1725626016.5505984,1725626016.1674154,0.39636169,0.0039636169,cpu,1725626016.1672978,1725626016.0169854,0.14430137,0.0072150685,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,8,True,100,20,deckard.base.files.FileConfig,data,213154e84ad20c52ebdd33f4ec02fb42,.pkl,kdd_nsl,fd16fe32e7bda2330642bf66fdebc5ba,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,8,True,100,20,label,brute,1.0,1,Ratio,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,fd16fe32e7bda2330642bf66fdebc5ba,,
8,train,deckard.base.experiment.Experiment,eb87a1961d2465c11d71f4d4779f6bb8,KDD NSL,cpu,eb87a1961d2465c11d71f4d4779f6bb8,eb87a1961d2465c11d71f4d4779f6bb8,k-KNN,eb87a1961d2465c11d71f4d4779f6bb8,eb87a1961d2465c11d71f4d4779f6bb8,0.94,2.072350571617548,cpu,1725626023.6342678,1725626023.1137977,0.57025286,0.0057025286,cpu,1725626023.113688,1725626022.9335728,0.19219012,0.009609506,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,20,deckard.base.files.FileConfig,data,f2fa6ca59659a8ff8ed8d0cdadd9dabe,.pkl,kdd_nsl,eb87a1961d2465c11d71f4d4779f6bb8,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,20,label,brute,1.0,1,ZSTD,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,eb87a1961d2465c11d71f4d4779f6bb8,,
9,train,deckard.base.experiment.Experiment,eaf1aee5f69763d841fe89d8527656ae,KDD NSL,cpu,eaf1aee5f69763d841fe89d8527656ae,eaf1aee5f69763d841fe89d8527656ae,k-KNN,eaf1aee5f69763d841fe89d8527656ae,eaf1aee5f69763d841fe89d8527656ae,0.88,4.1446691593378855,cpu,1725626016.8270328,1725626016.245792,0.62410362,0.0062410362,cpu,1725626016.2456696,1725626016.0192077,0.23672065,0.0118360325,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,20,deckard.base.files.FileConfig,data,f2fa6ca59659a8ff8ed8d0cdadd9dabe,.pkl,kdd_nsl,eaf1aee5f69763d841fe89d8527656ae,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,20,label,brute,1.0,1,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,eaf1aee5f69763d841fe89d8527656ae,,
